SKU,name,orderedQuantity,stockLevel,restockingLeadTime,ratio,comments
GGOEGAAB058915,Men's Short Sleeve Performance Badge Tee Black,6,7,11,0.8571428571,
GGOEGAEC029114,Women's Short Sleeve Hero Tee Sky Blue,7,8,11,0.875,
GGOEGAYR068256,Youth Short Sleeve Tee Red,8,10,11,0.8,
GGOEGAAX0684,Youth Short Sleeve T-shirt Green,11,12,11,0.9166666667,
GGOEGAAJ059116,Men's Short Sleeve Performance Badge Tee Pewter,13,15,11,0.8666666667,
GGOEGAPB058213,Women's Lightweight Microfleece Jacket,15,16,11,0.9375,
GGOEGAAX0284,Women's  Short Sleeve Hero Tee Black,22,23,11,0.9565217391,
GGOEGAAX0614,Onesie Heather,25,26,11,0.9615384615,
GGOEGATH060713,Women's Convertible Vest-Jacket Sea Foam Green,27,32,11,0.84375,
GGOEGOCC077999,Spiral Journal with Pen,3896,4668,10,0.8346186804,
GGOEGAAQ033915,Men's Vintage Badge Tee White,111,120,10,0.925,
GGOEGBRA037499,Waterproof Backpack,215,230,10,0.9347826087,
GGOEGFAQ016699,Bottle Opener Clip,362,381,10,0.9501312336,
GGOEYAAB031815,Men's Short Sleeve Hero Tee Black,36,39,10,0.9230769231,
GGOEGAWQ062948,Baby Essentials Set,261,77,10,3.38961039,
GGOEGALJ060113,Women's Short Sleeve Performance Tee Pewter,1,1,10,1,
GGOEGALP036316,Women's Long Sleeve Tee Lavender,1,1,10,1,
GGOEGALJ072913,Women's Performance Hero Tee Gunmetal,1,1,10,1,
GGOEGADJ057117,Men's Performance 1/4 Zip Pullover Heather/Black,2,2,10,1,
GGOEGAXR065155,Toddler Short Sleeve Tee Red,2,2,10,1,
GGOEAAYC068726,Android Youth Short Sleeve T-shirt Aqua,4,4,10,1,
GGOEAAAB034815,Android BTTF Cosmos Graphic Tee,5,6,10,0.8333333333,
GGOEGAUC057714,Women's Performance Golf Polo Blue,5,6,10,0.8333333333,
GGOEGAEJ031316,Tri-blend Hoodie Grey,10,11,10,0.9090909091,
GGOEGAXL065928,Toddler Raglan Shirt Blue Heather/Navy,10,12,10,0.8333333333,
GGOEAAAB081015,Android Men's Outerstellar Short Sleeve Tee Black,11,13,10,0.8461538462,
GGOEGADB056615,Men's Weatherblock Shell Jacket Black,12,12,10,1,
GGOEAAEJ035713,Android Men's Vintage Tank,13,15,10,0.8666666667,
GGOEGAPJ058014,Women's 1/4 Zip Jacket Charcoal,17,18,10,0.9444444444,
GGOEGAAX0628,Infant Zip Hood Royal Blue,26,29,10,0.8965517241,
GGOEGOCC077999,Spiral Journal with Pen,3896,4668,10,0.8346186804,
GGOEGAAQ033915,Men's Vintage Badge Tee White,111,120,10,0.925,
GGOEGBRA037499,Waterproof Backpack,215,230,10,0.9347826087,
GGOEGFAQ016699,Bottle Opener Clip,362,381,10,0.9501312336,
GGOEYAAB031815,Men's Short Sleeve Hero Tee Black,36,39,10,0.9230769231,
GGOEGAWQ062948,Baby Essentials Set,261,77,10,3.38961039,
GGOEGALJ060113,Women's Short Sleeve Performance Tee Pewter,1,1,10,1,
GGOEGALP036316,Women's Long Sleeve Tee Lavender,1,1,10,1,
GGOEGALJ072913,Women's Performance Hero Tee Gunmetal,1,1,10,1,
GGOEGADJ057117,Men's Performance 1/4 Zip Pullover Heather/Black,2,2,10,1,
GGOEGAXR065155,Toddler Short Sleeve Tee Red,2,2,10,1,
GGOEAAYC068726,Android Youth Short Sleeve T-shirt Aqua,4,4,10,1,
GGOEAAAB034815,Android BTTF Cosmos Graphic Tee,5,6,10,0.8333333333,
GGOEGAUC057714,Women's Performance Golf Polo Blue,5,6,10,0.8333333333,
GGOEGAEJ031316,Tri-blend Hoodie Grey,10,11,10,0.9090909091,
GGOEGAXL065928,Toddler Raglan Shirt Blue Heather/Navy,10,12,10,0.8333333333,
GGOEAAAB081015,Android Men's Outerstellar Short Sleeve Tee Black,11,13,10,0.8461538462,
GGOEGADB056615,Men's Weatherblock Shell Jacket Black,12,12,10,1,
GGOEAAEJ035713,Android Men's Vintage Tank,13,15,10,0.8666666667,
GGOEGAPJ058014,Women's 1/4 Zip Jacket Charcoal,17,18,10,0.9444444444,
GGOEGAAX0628,Infant Zip Hood Royal Blue,26,29,10,0.8965517241,
GGOEAOCB077499,Android RFID Journal,73,86,9,0.8488372093,
GGOEGFKA022299,Keyboard DOT Sticker,480,189,9,2.53968254,
GGOEGGOA017399,Maze Pen,1748,324,9,5.395061728,
GGOEGOCR078499,Spiral Leather Journal,401,449,9,0.8930957684,
GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,845,256,9,3.30078125,
GGOEGAYR068225,Youth Short Sleeve Tee Red,1,1,9,1,
GGOEGAAX0601,Women's Short Sleeve Performance Tee Pewter,1,1,9,1,
GGOEAAEB028316,Android Women's Short Sleeve Hero Tee Black,2,2,9,1,
GGOEGAFJ036217,Men's Pullover Hoodie Grey,2,2,9,1,
GGOEGADB056613,Men's Weatherblock Shell Jacket Black,4,4,9,1,
GGOEGAAJ057018,Men's Short Sleeve Performance Badge Tee Charcoal,4,5,9,0.8,
GGOEGAPB058215,Women's Lightweight Microfleece Jacket,5,5,9,1,
GGOEGAAX0592,Men's Airflow 1/4 Zip Pullover Black,8,8,9,1,
GGOEGPXR023199,Collapsible Pet Bowl,12,15,9,0.8,
GGOEGAEJ035314,Vintage Henley Grey/Black,19,21,9,0.9047619048,
GGOEGAWR061150,Onesie Red,20,22,9,0.9090909091,
